// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.04 sec)   *****
// Found 3 benchmarks:
//   SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
//   SerializationBenchmark.JsonToJsonSerializerTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SerializationBenchmark.JsonToJObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-CNYTJZ(Toolchain=InProcessEmitToolchain)

WorkloadResult  87: 32 op, 850446700.00 ns, 26.5765 ms/op
WorkloadResult  88: 32 op, 710775800.00 ns, 22.2117 ms/op
WorkloadResult  89: 32 op, 703243200.00 ns, 21.9764 ms/op
WorkloadResult  90: 32 op, 735214300.00 ns, 22.9754 ms/op
WorkloadResult  91: 32 op, 792609400.00 ns, 24.7690 ms/op
WorkloadResult  92: 32 op, 819715600.00 ns, 25.6161 ms/op
WorkloadResult  93: 32 op, 695454400.00 ns, 21.7329 ms/op
WorkloadResult  94: 32 op, 861225200.00 ns, 26.9133 ms/op
WorkloadResult  95: 32 op, 730220400.00 ns, 22.8194 ms/op
WorkloadResult  96: 32 op, 730486400.00 ns, 22.8277 ms/op
WorkloadResult  97: 32 op, 730570800.00 ns, 22.8303 ms/op
WorkloadResult  98: 32 op, 817743700.00 ns, 25.5545 ms/op
WorkloadResult  99: 32 op, 703791000.00 ns, 21.9935 ms/op
// GC:  218 0 0 685056792 32
// Threading:  0 0 32


Mean = 23.552 ms, StdErr = 0.138 ms (0.59%), N = 99, StdDev = 1.378 ms
Min = 21.717 ms, Q1 = 22.362 ms, Median = 23.289 ms, Q3 = 24.597 ms, Max = 26.913 ms
IQR = 2.235 ms, LowerFence = 19.009 ms, UpperFence = 27.950 ms
ConfidenceInterval = [23.082 ms; 24.022 ms] (CI 99.9%), Margin = 0.470 ms (1.99% of Mean)
Skewness = 0.61, Kurtosis = 2.46, MValue = 2

// ** Remained 2 (66.7%) benchmark(s) to run. Estimated finish 2023-08-30 18:14 (0h 2m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SerializationBenchmark.JsonToObjectTest: InProcess(Toolchain=InProcessEmitToolchain) [N=1000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.7
// Runtime=.NET 7.0.10 (7.0.1023.36312), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-CNYTJZ(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 197700.00 ns, 197.7000 us/op
WorkloadJitting  1: 1 op, 125334700.00 ns, 125.3347 ms/op

WorkloadPilot    1: 2 op, 62008900.00 ns, 31.0044 ms/op
WorkloadPilot    2: 3 op, 88864800.00 ns, 29.6216 ms/op
WorkloadPilot    3: 4 op, 102763200.00 ns, 25.6908 ms/op
WorkloadPilot    4: 5 op, 85771700.00 ns, 17.1543 ms/op
WorkloadPilot    5: 6 op, 98609900.00 ns, 16.4350 ms/op
WorkloadPilot    6: 7 op, 113075500.00 ns, 16.1536 ms/op
WorkloadPilot    7: 8 op, 128903700.00 ns, 16.1130 ms/op
WorkloadPilot    8: 9 op, 142841100.00 ns, 15.8712 ms/op
WorkloadPilot    9: 10 op, 157893000.00 ns, 15.7893 ms/op
WorkloadPilot   10: 11 op, 172945000.00 ns, 15.7223 ms/op
WorkloadPilot   11: 12 op, 183689900.00 ns, 15.3075 ms/op
WorkloadPilot   12: 13 op, 198155100.00 ns, 15.2427 ms/op
WorkloadPilot   13: 14 op, 218570900.00 ns, 15.6122 ms/op
WorkloadPilot   14: 15 op, 234571200.00 ns, 15.6381 ms/op
WorkloadPilot   15: 16 op, 248620100.00 ns, 15.5388 ms/op
WorkloadPilot   16: 32 op, 513579400.00 ns, 16.0494 ms/op

WorkloadWarmup   1: 32 op, 439410800.00 ns, 13.7316 ms/op
WorkloadWarmup   2: 32 op, 495599500.00 ns, 15.4875 ms/op
WorkloadWarmup   3: 32 op, 497907500.00 ns, 15.5596 ms/op
WorkloadWarmup   4: 32 op, 510804000.00 ns, 15.9626 ms/op
WorkloadWarmup   5: 32 op, 530228600.00 ns, 16.5696 ms/op
WorkloadWarmup   6: 32 op, 502645900.00 ns, 15.7077 ms/op
WorkloadWarmup   7: 32 op, 498955200.00 ns, 15.5923 ms/op
WorkloadWarmup   8: 32 op, 498462300.00 ns, 15.5769 ms/op
WorkloadWarmup   9: 32 op, 491110000.00 ns, 15.3472 ms/op
WorkloadWarmup  10: 32 op, 507643000.00 ns, 15.8638 ms/op
WorkloadWarmup  11: 32 op, 503040800.00 ns, 15.7200 ms/op

